Código;Mídias Favoritas
4;42,89,13,31,48,48,84
10;94,64,85,78,28,94,98,46,62,44,48,24,24,2,47,44,56
13;5,58,56,28,45,48,52,27,32,18,22,21
15;63,98,65,33,23,90,4,86,16,3,26,1,91,3,75,44,41,24,12,30,69,48,87,67,18,43,48,58,21,16
17;59,19,30,4,16,26
24;53,9,96,54,95,28,84,16,99,14,64,25,22,67,18,98,64,40,55
31;86,45,11,23,31,32,96,44,16,94,11
33;88,4,14,66,67,44,40,93
34;31,41,80,67,6,87,33,14,65,38,21,27,60,59,21,27,5,20,22,67,69,87,52,85,25,22,53
44;55,25,75,58,46,36,15,32,90,80,89,87,56,3,98,41,18
46;45,92,42,81,55,88,81,83,39,69,44,43,36,59,75,69,19,95
48;90,10,10,30,29,25
53;8,29,9,8,12,87,97,30,92,84,16
56;13,49,66,11,42,82
57;99,95,16,47,82,31,38,81,99,32,84,7,63,92,60,66,70,29,73,7,23
58;34,78,20,66,17,68,44,51,55,41,55,90,88,52,14,53,65,87,60
62;7,50,18,71,96,7,52,80,78
66;74,36,64
69;50,31,74,31,33,57,21,56,15,3,95,82,12,10,90,36,59,100,12,91,80,13,7,86,100,65
71;73,50,59,47,39,48,85,27,42,93,79,43,16,23,46,36,31,55,41
82;24,28,18,6,8,86,29,46,68,47,50,68,82,12,3,27,78,88,19
86;59,32,71,72,95,20,77,25,89,11,64,32,30
87;40,13,62,59,73,90,100
93;86,54,51,60,68,34,95,88,87
94;92,20,21,7,74,42,33,77,27,96,62,69,40,73,38,73,22,2,21,19,5,30,53
